COMPANY_ID,AVG_USD_AMT_ALL_MAKE,AVG_REVENUE_USD_AMT_ALL_MAKE,AVG_NET_REVENUE_USD_AMT_ALL_MAKE,FREQ_ACTIVE_MAKE,PAYTYPE_COUNT_ALL_MAKE,SUPPLIER_PAYMENT_PERCENT_MAKE,RENT_PAYMENT_PERCENT_MAKE,PAYROLL_PAYMENT_PERCENT_MAKE,MONTHS_SINCE_FIRST_PAYMENT_ALL_MAKE,MONTHS_SINCE_LAST_PAYMENT_ALL_MAKE,RSD_PERCENTAGE_MAKE,USE_COLLECT,ENTITY_NAME,AVG_USD_AMT_ALL_COLLECT,AVG_REVENUE_USD_AMT_ALL_COLLECT,AVG_NET_REVENUE_USD_AMT_ALL_COLLECT,FREQ_ACTIVE_COLLECT,PAYTYPE_COUNT_ALL_COLLECT,SUPPLIER_PAYMENT_PERCENT_COLLECT,RENT_PAYMENT_PERCENT_COLLECT,PAYROLL_PAYMENT_PERCENT_COLLECT,MONTHS_SINCE_FIRST_PAYMENT_ALL_COLLECT,MONTHS_SINCE_LAST_PAYMENT_ALL_COLLECT,CU_COMPANY_L2_INDUSTRY_NUMERIC,Combined_Cluster
687,25497.245873990000,471.698330235000,-44.215320490000,0.333333,2.0,0.500000,0.000000,0.000000,16.0,11.0,0.9555958151429195,0,LIGHTHOUSE ESOLUTIONS PTE. LTD.,,,,,,,,,,,11,active_3
4645,13400.838000000000,238.534916400000,-20.726629440000,1.000000,1.0,0.000000,0.000000,1.000000,0.0,0.0,0.9555958151429195,0,SPEAK FOR LIFE TRAINING PRIVATE LIMITED,,,,,,,,,,,10,active_2
2236,1012.507760000000,0E-12,-25.119126340000,1.000000,1.0,0.000000,0.000000,0.000000,31.0,31.0,0.9555958151429195,0,THE LION BOX,,,,,,,,,,,0,lapsed_3
3949,,,,,,,,,,,0.9555958151429195,1,YC VENTURES PTE. LTD.,1222.650140684211,28.926610048947,1.930582714211,2.375000,1.0,1.000000,0.000000,0.000000,8.0,1.0,6,
139,7223.201324691000,142.791884818000,41.389977145000,2.000000,2.0,0.800000,0.000000,0.200000,14.0,0.0,0.8994502775639731,0,FORGOTTEN TECHNOLOGIES PTE. LTD.,,,,,,,,,,,4,active_1
3653,1988.206776143617,34.359210064043,13.317518368936,3.615385,2.0,0.744681,0.255319,0.000000,12.0,0.0,0.4671282207292765,1,WK GOH MANAGEMENT & CONSULTANCY (S) PTE. LTD.,398.560775213333,8.196845910000,0.987691393333,0.300000,1.0,1.000000,0.000000,0.000000,10.0,1.0,4,active_1
1496,9306.137500000000,166.909155346154,49.209709729231,0.351351,1.0,0.000000,0.000000,1.000000,45.0,9.0,0.962508825050535,0,GROUPE MULLER PTE. LTD.,,,,,,,,,,,6,active_2
1602,371.850919770000,10.308718713333,1.325193980000,0.750000,2.0,0.666667,0.000000,0.000000,35.0,32.0,1.9654216000482962,0,GSK @ YOUR SERVICE PTE. LTD.,,,,,,,,,,,13,lapsed_1
2701,9.678383000000,0E-12,-0.253126940000,1.000000,1.0,1.000000,0.000000,0.000000,23.0,23.0,0.9555958151429195,1,STRATOGEM GROUP PTE. LTD.,20.696849800000,0E-12,-0.457861965000,5.000000,1.0,1.000000,0.000000,0.000000,23.0,22.0,10,lapsed_1
2886,18038.886644075000,318.716597100000,34.935240175000,2.000000,2.0,0.000000,0.000000,0.000000,21.0,21.0,0.9555958151429195,0,HEALTH CAPITAL (ELIAS) PTE. LTD.,,,,,,,,,,,2,lapsed_3
2751,3981.813329670000,51.764459230000,-1.191185600000,1.000000,1.0,0.000000,0.000000,0.000000,23.0,23.0,0.9555958151429195,0,KURTIS CONSULTING PTE. LTD.,,,,,,,,,,,11,lapsed_3
