PRIMARY_SSIC_DESCRIPTION,PREDICTED_L1,CONFIDENCE
OTHER PERSONAL SERVICE ACTIVITIES N.E.C. (EXCLUDING ONLINE MARKETPLACES),Consumer Services,0.6253744959831238
"MANUFACTURE AND REPAIR OF GEARS, GEARING AND DRIVING ELEMENTS",Machinery,0.4645952582359314
INTERIOR DESIGN SERVICES,Facilities Services,0.5280529260635376
ACTIVITIES OF SPORTS CLUBS/ASSOCIATIONS AND RELATED ACTIVITIES,Sports,0.5711745023727417
CRANE SERVICES FOR ALL INDUSTRIES EXCEPT CONSTRUCTION,Construction,0.486253559589386
WHOLESALE OF MEDICINAL AND PHARMACEUTICAL PRODUCTS (WESTERN),Wholesale,0.6314471960067749
MANUFACTURE AND ASSEMBLY OF MOTOR VEHICLES,Automotive,0.5684318542480469
SECURITY DEALINGS AND COMMODITY CONTRACTS BROKERAGE ACTIVITIES N.E.C.,Capital Markets,0.578858494758606
TECHNICAL TESTING AND ANALYSIS SERVICES (INCLUDING CERTIFICATION OF PRODUCTS AND SERVICES),Information Technology & Services,0.5010658502578735
MANUFACTURE OF SANITARY WARE OF ENAMELLED IRON AND METAL AND PLUMBERS' WARE OF BRASS,Mining & Metals,0.4107298254966736
MANUFACTURE OF JEWELLERY AND RELATED ARTICLES N.E.C. (EXCEPT COSTUME JEWELLERY),Luxury Goods & Jewelry,0.5576561689376831
MANUFACTURE OF BASIC CHEMICALS N.E.C.,Chemicals,0.5179969668388367
MONEY-CHANGING SERVICES,Financial Services,0.5332380533218384
MANUFACTURE OF PHARMACEUTICAL PRODUCTS AND PREPARATIONS FOR HUMAN USE (EG TABLETED PRODUCTS),Pharmaceuticals,0.6745367646217346
INDUSTRIAL DESIGN ACTIVITIES N.E.C.,Mechanical or Industrial Engineering,0.5307983160018921
MANUFACTURE OF PRINTED CIRCUIT BOARDS WITHOUT ELECTRONIC PARTS,Printing,0.4237663745880127
MANUFACTURE OF COMPUTERS AND DATA PROCESSING EQUIPMENT EXCEPT COMPUTER PERIPHERAL EQUIPMENT,Computer Hardware,0.5375149250030518
MANUFACTURE AND REPAIR OF SOLAR MODULES AND PANELS,Electrical and Electronics,0.3579483926296234
MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS N.E.C.,Food Production,0.5683073401451111
POLYTECHNICS,Higher Education,0.6981371641159058
FASHION (INCLUDING ACCESSORIES) DESIGN SERVICES,Apparel & Fashion,0.6500945091247559
WHOLESALE OF CHILDREN AND INFANTS' CLOTHING (INCLUDING PRODUCTS AND ACCESSORIES FOR INFANTS),Wholesale,0.6139175295829773
"OTHER RELATED SERVICES (EG ELECTRICITY BROKERS, METER READING)",Consumer Services,0.5403695106506348
OTHER RELATED SERVICES (EG ARRANGING FOR SALE OF NATURAL GAS),Financial Services,0.4960812032222748
MANUFACTURE OF SOLVENTS,Chemicals,0.45375385880470276
CALL CENTRES,Consumer Services,0.6809181571006775
MANUFACTURE AND REPAIR OF AGRICULTURAL AND FORESTRY MACHINERY,Machinery,0.5346522331237793
